Club,Type,Target,Total,Side,Shot Quality,Date,Lie,End Lie,Quality,Notes
 Dr, Driving,341.6617774,171.9643206,65, 15 Handicap, 2024-10-18 08:34:43 +0000, Tee, Fairway, Toe, #slice#push#high#doubleCross
 4H, Approach,211.3318184,123.2433158,-3, 10 Handicap, 2024-10-18 08:34:43 +0000, Fairway, Fairway, Center, #straight#normal#intended
 7I, Approach,90.45230478,51.1918637,5, 20 Handicap, 2024-10-18 08:34:43 +0000, Fairway, Fairway, Center, #straight#high#intended
 SW, Short,39.27052212,31.11700762,4, 0 Handicap, 2024-10-18 08:34:43 +0000, Fairway, Green, Center, #straight#normal#intended
 Pu, Putting,4.036729425,9.524176267,7, 25 Handicap, 2024-10-18 08:34:43 +0000, Green, Green, lowLeft,
 Pu, Putting,1.394627631,1.394628743,-3, Pro, 2024-10-18 08:34:43 +0000, Green, Green, holed,
 7I, Approach,135.4004345,128.1733077,-20, 15 Handicap, 2024-10-18 08:34:43 +0000, Tee, Rough, , #draw#pull#normal#doubleCross
 SW, Short,19.54398435,14.29880036,4, 5 Handicap, 2024-10-18 08:34:43 +0000, Rough, Green, Center, #straight#normal#intended
 Pu, Putting,5.250727928,4.965467371,5, 25 Handicap, 2024-10-18 08:34:43 +0000, Green, Green, lowLeft,
 Pu, Putting,1.268799485,1.268799485,-7, Pro, 2024-10-18 08:34:43 +0000, Green, Green, holed,
 Dr, Driving,297.8822161,88.79091305,3, 25 Handicap, 2024-10-18 08:34:43 +0000, Tee, Rough, Low, #straight#low#doubleCross
 5H, Approach,214.942256,125.4865613,-3, 5 Handicap, 2024-10-18 08:34:43 +0000, Rough, Fairway, Center, #straight#normal#intended
 7I, Approach,97.50409437,48.18529468,-6, 20 Handicap, 2024-10-18 08:34:43 +0000, Fairway, Fairway, High, #straight#low#doubleCross
 SW, Approach,51.46823392,49.27101272,11, 20 Handicap, 2024-10-18 08:34:43 +0000, Fairway, Rough, Center, #push#normal#doubleCross
 SW, Short,14.80638804,20.67785273,5, 5 Handicap, 2024-10-18 08:34:43 +0000, Rough, Green, Center, #straight#low#intended
 Pu, Putting,5.97649563,5.857111462,-4, 25 Handicap, 2024-10-18 08:34:43 +0000, Green, Green, highRight,
 Pu, Putting,0.441471973,0.441466014,-7, Pro, 2024-10-18 08:34:43 +0000, Green, Green, holed,
 Dr, Driving,360.4402375,170.8631003,5, 5 Handicap, 2024-10-18 08:34:43 +0000, Tee, Fairway, ,
 4H, Approach,190.2889172,137.5585507,6, 10 Handicap, 2024-10-18 08:34:43 +0000, Fairway, Fairway, Center, #fade#straight#normal#intended
 PW, Approach,54.93854044,56.29890938,-31, 10 Handicap, 2024-10-18 08:34:43 +0000, Fairway, Green, Center, #draw#pull#normal#intended
 Pu, Putting,15.70740291,15.48706521,-3, 25 Handicap, 2024-10-18 08:34:43 +0000, Green, Green, lowRight,
 Pu, Putting,5.48327446,5.564249117,5, 25 Handicap, 2024-10-18 08:34:43 +0000, Green, Green, left,
 Pu, Putting,0.329913713,0.329906828,-7, Pro, 2024-10-18 08:34:43 +0000, Green, Green, holed,
 Dr, Driving,346.2952294,110.7150077,0, 25 Handicap, 2024-10-18 08:34:43 +0000, Tee, Rough, Low, #pull#low#doubleCross
 4H, Approach,247.6913057,155.196111,-16, Elite Am, 2024-10-18 08:34:43 +0000, Rough, Fairway, Center, #draw#straight#normal#intended
 8I, Approach,100.5121988,81.58455553,0, 20 Handicap, 2024-10-18 08:34:43 +0000, Fairway, Sand, Center, #pull#normal
 SW, Short,21.28872558,13.93546477,-4, 10 Handicap, 2024-10-18 08:34:43 +0000, Sand, Green, Center, #straight#high#intended
 Pu, Putting,10.29310509,8.708080813,5, 25 Handicap, 2024-10-18 08:34:43 +0000, Green, Green, lowLeft,
 Pu, Putting,2.166167537,1.867784247,7, 25 Handicap, 2024-10-18 08:34:43 +0000, Green, Green, right,
 Pu, Putting,0.532268674,0.53226867,-4, Pro, 2024-10-18 08:34:43 +0000, Green, Green, holed,
 Dr, Driving,446.4644813,157.3626226,19, 25 Handicap, 2024-10-18 08:34:43 +0000, Tee, Rough, Toe, #fade#push#normal#doubleCross
 5H, Approach,298.0941451,134.4897898,-14, 0 Handicap, 2024-10-18 08:34:43 +0000, Rough, Fairway, Center, #draw#straight#normal#intended
 4H, Approach,163.9695507,102.7429428,-7, 20 Handicap, 2024-10-18 08:34:43 +0000, Fairway, Rough, High, #straight#low#doubleCross
 PW, Approach,61.26259699,56.47847496,-4, Pro, 2024-10-18 08:34:43 +0000, Rough, Green, Center, #straight#high#intended
 Pu, Putting,4.954239561,4.954298647,4, 25 Handicap, 2024-10-18 08:34:43 +0000, Green, Green, short,
 Pu, Putting,0.6096,0,-4, Pro, 2024-10-18 08:34:43 +0000, Green, Green, holed,
 Dr, Driving,402.8100707,132.5463818,-46, 25 Handicap, 2024-10-18 08:34:43 +0000, Tee, Recovery, Heel, #hook#pull#low#doubleCross
 4H, Approach,304.9237008,110.2692424,-6, Pro, 2024-10-18 08:34:43 +0000, Recovery, Fairway, Center, #straight#low#intended
 4H, Approach,194.8480098,125.9514525,-4, 10 Handicap, 2024-10-18 08:34:43 +0000, Fairway, Fairway, Center, #fade#straight#normal#intended
 PW, Approach,69.2422065,61.32017926,7, Pro, 2024-10-18 08:34:43 +0000, Fairway, Green, Center, #straight#high#intended
 Pu, Putting,3.936871825,8.238801944,-3, 25 Handicap, 2024-10-18 08:34:43 +0000, Green, Green, right,
 Pu, Putting,0.374822598,0.374822657,7, Pro, 2024-10-18 08:34:43 +0000, Green, Green, holed,
 5H, Approach,131.9634564,137.7034347,3, 10 Handicap, 2024-10-18 08:34:43 +0000, Tee, Rough, Center, #fade#straight#high
 SW, Short,13.24414166,19.78522033,-6, 5 Handicap, 2024-10-18 08:34:43 +0000, Rough, Green, Center, #straight#low#intended
 Pu, Putting,5.922903429,5.922903429,7, 25 Handicap, 2024-10-18 08:34:43 +0000, Green, Green, highLeft,
 Pu, Putting,0.6096,1.538062308,5, Pro, 2024-10-18 08:34:43 +0000, Green, Green, holed,
 Dr, Driving,409.6184642,174.156159,-3, 15 Handicap, 2024-10-18 08:34:43 +0000, Tee, Fairway, Center, #fade#straight#normal#intended
 4H, Approach,242.4717276,125.3166717,7, 5 Handicap, 2024-10-18 08:34:43 +0000, Fairway, Fairway, Center, #fade#straight#normal#intended
 5H, Approach,118.2786668,113.7523048,3, Pro, 2024-10-18 08:34:43 +0000, Fairway, Green, Center, #fade#straight#normal#intended
 Pu, Putting,5.223818838,5.223798365,-6, 25 Handicap, 2024-10-18 08:34:43 +0000, Green, Green, short,
 Pu, Putting,0.6096,0,3, Pro, 2024-10-18 08:34:43 +0000, Green, Green, holed,
 4H, Approach,165.2357588,99.55298136,0, 20 Handicap, 2024-10-18 08:34:43 +0000, Tee, Rough, Low, #pull#low#doubleCross
 PW, Approach,68.25849625,64.82318539,10, 10 Handicap, 2024-10-18 08:34:43 +0000, Rough, Sand, Low, #fade#push#low#doubleCross
 SW, Short,13.75071496,26.76666034,-4, 25 Handicap, 2024-10-18 08:34:43 +0000, Sand, Rough, Low, #straight#low#doubleCross
 PW, Short,17.84711794,9.542577092,4, 10 Handicap, 2024-10-18 08:34:43 +0000, Rough, Green, Center, #straight#low#intended
 Pu, Putting,9.272010144,12.92440154,4, 25 Handicap, 2024-10-18 08:34:43 +0000, Green, Green, right,
 Pu, Putting,3.761540147,3.174936491,3, 25 Handicap, 2024-10-18 08:34:43 +0000, Green, Green, lowLeft,
 Pu, Putting,0.599459266,0.599459266,-3, Pro, 2024-10-18 08:34:43 +0000, Green, Green, holed,
 Dr, Driving,472.228081,164.7725438,-6, 15 Handicap, 2024-10-18 08:34:43 +0000, Tee, Rough, Center, #fade#straight#normal#intended
 4H, Approach,308.0413921,110.7343561,3, 5 Handicap, 2024-10-18 08:34:43 +0000, Rough, Fairway, High, #straight#low#doubleCross
 4H, Approach,198.0502463,93.10071567,3, 10 Handicap, 2024-10-18 08:34:43 +0000, Fairway, Fairway, Low, #straight#low#doubleCross
 PW, Approach,105.1982471,91.05361324,-6, 15 Handicap, 2024-10-18 08:34:43 +0000, Fairway, Rough, Center, #fade#straight#normal#intended
 PW, Short,15.15585687,26.95295915,4, 20 Handicap, 2024-10-18 08:34:43 +0000, Rough, Rough, Low, #straight#low#doubleCross
 PW, Short,16.6836096,12.48391158,7, 5 Handicap, 2024-10-18 08:34:43 +0000, Rough, Green, , #straight#low#intended
 Pu, Putting,6.40180988,6.142925289,6, 20 Handicap, 2024-10-18 08:34:43 +0000, Green, Green, right,
 Pu, Putting,0.417305719,0.41730248,-3, Pro, 2024-10-18 08:34:43 +0000, Green, Green, holed,
 4H, Approach,169.2873278,101.2231627,0, 20 Handicap, 2024-10-18 08:34:43 +0000, Tee, Rough, Heel, #pull#low#doubleCross
 PW, Approach,69.4750107,76.13224945,7, Elite Am, 2024-10-18 08:34:43 +0000, Rough, Green, Center, #straight#normal#intended
 Pu, Putting,8.460759185,8.026871941,6, 10 Handicap, 2024-10-18 08:34:43 +0000, Green, Green, left,
 Pu, Putting,0.899262396,0.899262396,6, Pro, 2024-10-18 08:34:43 +0000, Green, Green, holed,
 Dr, Driving,339.9005927,200.6679598,3, 0 Handicap, 2024-10-18 08:34:43 +0000, Tee, Fairway, Center, #fade#straight#normal#intended
 4H, Approach,155.7273889,147.5037226,-4, Pro, 2024-10-18 08:34:43 +0000, Fairway, Green, Center, #straight#normal#intended
 Pu, Putting,8.91336245,9.050373823,3, 5 Handicap, 2024-10-18 08:34:43 +0000, Green, Green, lowLeft,
 Pu, Putting,0.86125066,0.861248855,-4, Pro, 2024-10-18 08:34:43 +0000, Green, Green, holed,
